name,kind,year,price,fuel_kind,km/l,car_output,torque,cc,engine,driving_system,gear,full_length,full_height,full_width,range
현대 싼타페,중형 SUV,2023,"3,277~4,472만원","가솔린, 디젤","복합 9.5~14.1km/ℓ 도심 8.6~12.8, 고속 10.9~16",194~281hp 엔진,43~45kg.m 엔진,"2,151~2,497cc",I4 싱글터보,"AWD, FF",DCT8단,"4,785~4,800mm","1,685~1,710mm","1,900mm","2,765mm"
현대 그랜저 하이브리드,준대형 세단,2023,"4,266~5,161만원","가솔린, 하이브리드","복합 16.7~18km/ℓ 도심 16.6~18, 고속 16.8~17.9",230hp/180hp 합산/엔진,35.7kg.m/27kg.m 합산/엔진,"1,598cc",I4 싱글터보,FF,자동6단,"5,035mm","1,460mm","1,880mm","2,895mm"
포르쉐 911 타르가 GTS,스포츠카 컨버터블,2022,"21,990만원",가솔린,"복합 7.9km/ℓ 도심 7, 고속 9.4",483hp 엔진,58.2kg.m 엔진,"2,981cc",F6 트윈터보,AWD,DCT8단,"4,535mm","1,300mm","1,850mm","2,450mm"
포르쉐 타이칸 GTS,준대형 세단,2022,"18,030만원",전기,317km 1회 충전 시,"복합 3.2km/kWh 도심 , 고속",440kW 모터 590hp (단순환산치),850Nm 모터 86.7kg.m (단순환산치),93.4kWh 배터리,AWD,자동2단,"4,965mm","1,380mm","1,965mm","2,900mm"
토요타 프리우스 프라임,준중형 해치백,2021,"4,934만원","전기, 가솔린, 하이브리드","복합 21.4km/ℓ 도심 23, 고속 19.6",122hp/98hp 합산/엔진,14.5kg.m 엔진,"1,798cc",l4 자연흡기,FF,CVT,"4,645mm","1,470mm","1,760mm","2,700mm"
디피코 포트로 EV 픽업,경형 트럭,2022,"2,112~2,233만원",전기,113km 1회 충전 시,"복합 4.2km/kWh 도심 5.1, 고속 3.4",15kW 모터 20hp (단순환산치),15.1kWh 배터리,RR,자동1단,"3,405mm","1,860mm","1,435mm","2,400mm",
메르세데스-벤츠 AMG GT R,스포츠카 쿠페,2021,"25,360만원",가솔린,"복합 7km/ℓ 도심 6.2, 고속 8.3",585hp 엔진,71.4kg.m 엔진,"3,982cc",V8 트윈터보,FR,DCT7단,"4,550mm","1,280mm","2,005mm","2,630mm"
포르쉐 911 터보,스포츠카 쿠페,2021,"27,830만원",가솔린,"복합 6.8km/ℓ 도심 , 고속",662hp 엔진,81.6kg.m 엔진,"3,745cc",F6 트윈터보,AWD,DCT8단,"4,535mm","1,305mm","1,900mm","2,450mm"
메르세데스-벤츠 스프린터,대형 밴,2019,디젤,"복합 도심 , 고속",190hp 엔진,44.9kg.m 엔진,"2,987cc",V6 싱글터보,FR,자동7단,"5,926~7,367mm","2,376~2,705mm","2,020mm","3,665~4,325mm",
KG 모빌리티 렉스턴,준대형 SUV,2024,"4,010~5,213만원",디젤,"복합 10.6~11.1km/ℓ 도심 9.3~9.9, 고속 12.7~13.1",202hp 엔진,45kg.m 엔진,"2,157cc",I4 싱글터보,"FR, 4WD",자동8단,"4,850mm","1,825mm","1,960mm","2,865mm"
